Bundesland;BLZ;Name;Adresse ;PLZ;Ort;FN;Info;coordinates;Latitude;Longitude
NÖW;32000;RAIFFEISENLANDESBANK NIEDERÖSTERREICH-WIEN AG;Friedrich-Wilhelm-Raiffeisenplatz 1;1020;Wien;203160s;;(48.21612, 16.373137);48.21612;16.373137
NÖW;32002;Raiffeisenbank Region Wagram eGen;Bahnhofstraße 25;3462;Absdorf;46074g;;(48.4017869, 15.9847379);48.4017869;15.9847379
NÖW;32025;Raiffeisenbank Region Amstetten eGen;Raiffeisenplatz 1;3300;Amstetten;76982i;;(48.1245335, 14.8823511);48.1245335;14.8823511
NÖW;32039;Raiffeisenbank Auersthal-Bockfließ-Groß Schweinbarth eGen;Hauptstraße 78;2214;Auersthal;54375p;;(48.3739927, 16.6357775);48.3739927;16.6357775
NÖW;32045;Raiffeisenbank Region Baden eGen;Raiffeisenplatz 1;2500;Baden bei Wien;109921z;;(48.0053016, 16.231961);48.0053016;16.231961
NÖW;32059;Raiffeisenkasse Blindenmarkt eGen;Hauptstraße 40;3372;Blindenmarkt;78998z;;(48.1285398, 14.9867128);48.1285398;14.9867128
NÖW;32073;Raiffeisenbank Bruck-Carnuntum eGen;Raiffeisenplatz 1;2460;Bruck/Leitha;96390a;;(48.0222287, 16.7778964);48.0222287;16.7778964
NÖW;32092;Raiffeisen-Regionalbank Gänserndorf eGen;Bahnstraße 8;2230;Gänserndorf;54296y;;(48.3410712, 16.7213269);48.3410712;16.7213269
NÖW;32099;Raiffeisenkasse Dobersberg-Waldkirchen eGen;Hauptplatz 20;3843;Dobersberg;49453a;;(48.9152346, 15.3225069);48.9152346;15.3225069
NÖW;32123;Raiffeisenbank Eggenburg eGen;Hauptplatz 24-26;3730;Eggenburg;45646b;;(48.6432495, 15.8172107);48.6432495;15.8172107
NÖW;32127;Raiffeisenbank Thayatal-Mitte eGen;Hauptplatz 11;3820;Raabs/Thaya;45244k;;(48.8470994, 15.4938606);48.8470994;15.4938606
NÖW;32145;Raiffeisenkasse Ernstbrunn eGen;Hauptplatz 11;2115;Ernstbrunn;54871v;;(48.527794, 16.3619866);48.527794;16.3619866
NÖW;32195;Raiffeisenbank NÖ-Süd Alpin eGen;Bahnstraße 3;2870;Aspang;109814t;;(47.5562952, 16.090629);47.5562952;16.090629
NÖW;32250;Raiffeisen Regionalbank Mödling eGen;Hauptstraße 27-29;2340;Mödling;99100k;;(48.0863213, 16.291321);48.0863213;16.291321
NÖW;32275;Raiffeisenbank Seefeld-Hadres eGen;Hauptplatz 103;2061;Hadres;57122d;;(48.70419, 16.09912);48.70419;16.09912
NÖW;32278;Raiffeisenkasse Haidershofen eGen;Haidershofen 100;4431;Haidershofen;77703w;;(48.0743911, 14.4602835);48.0743911;14.4602835
